TITLE: Bill of Materials
BOM NO: 05-087156-01-b.csv
DATE: 01/27/2026
DESIGN: 02_087156b_top
TEMPLATE: Z:\allegro\v174_site\cdssetup\template.bom
CALLOUT: 

ITEM#,Qty,WW_PN,DESCRIPTION," VALUE",JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG," MFG_PN",HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
28,2,E033687,"DIO SCHOTTKY BARRIER RECTIFIER, 1A"," DFLS120L-7",POWERDI123,N/A,20V,1.67,"D1,D2",DIODES INCORPORATED," DFLS120L-7",REL,N/A,N/A,N/A,N/A,N/A,?,?
29,1,E035143,DIO SCHOTTKY BARRIER," BAT54SLT1G",SOT23_B,N/A,30V,N/A,D4,ONSEMI," BAT54SLT1G",REL,N/A,N/A,N/A,N/A,N/A,?,?
30,1,E047117,DIODE LED RED 635NM 40MCD," SSL-LX5093ID",LEDRAD100D232H378,N/A,2V,0.15W,DS1,LUMEX INC.," SSL-LX5093ID",REL,N/A,N/A,N/A,N/A,N/A,?,?
31,1,E027036,"IND CHIP FERRITE BEAD, 0.3A 0.7OHM DCR"," 600OHM AT 100MEGHZ",L0402,25,N/A,N/A,E1,MURATA," BLM15HG601SN1D",REL,N/A,N/A,N/A,N/A,N/A,?,?
32,2,E017863,CONN-PCB RF/COAXIAL SMA JACK STR 50 OHM/6GHz EDGE LAUNCH," 132255-11",CNAMPHENOL132255-11,N/A,N/A,N/A,"J1,J2",AMPHENOL," 132255-11",REL,N/A,N/A,N/A,N/A,6001390,?,?
34,1,E072224,IND POWER SHIELDED WIREWOUND 10UH 20% 100KHZ 1.2A 0.18 OHM DCR 1515," 10UH",LSMSQ157H47_LSXX,20,N/A,N/A,L1,TAIYO YUDEN," LSXND4040TKL100MDG",REL,N/A,N/A,N/A,N/A,N/A,?,?
35,2,E072225,IND POWER SHIELDED WIREWOUND 15UH 20% 100KHZ 0.65A 0.26 OHM DCR 1515," 15UH",LSMSQ157H71_LSXX,20,N/A,N/A,"L2,L3",TAIYO YUDEN," LSXND4040MKL150MDG",REL,N/A,N/A,N/A,N/A,N/A,?,?
37,3,E017614,CONN-PCB HDR 2.54MM PITCH SIL VERT PC TAIL," M20-9990345",CNHDR1X3H340,N/A,N/A,N/A,"P9,P10,P12",HARWIN," M20-9990345",REL,N/A,N/A,N/A,N/A,6002138,?,?
38,5,E060132,"CONN-PCB 6POS MALE HDR DUAL ROW ST, 2.54MM PITCH, 3.05MM SOLDER TAIL, 5.84MM POST HEIGHT"," PEC03DAAN",CNTHMHDR2X3L300W200H330,N/A,N/A,N/A,"P5,P8,P11,P14,P15",SULLINS," PEC03DAAN",REL,N/A,N/A,N/A,N/A,N/A,?,?
39,1,E067115,"CONN-PCB 4POS MALE HDR UNSHROUDED DUAL ROW ST, 5.84MM POST HEIGHT, 3.05MM SOLDER TAIL, 2.54MM PITCH"," PEC02DAAN",CNSULLINSXXC02DAAN,N/A,N/A,N/A,P16,SULLINS," PEC02DAAN",REL,N/A,N/A,N/A,N/A,N/A,?,?
40,1,E014907,CONN-PCB VERTICAL PC TAIL PIN HDR ASSY," M20-9990445",CNHDR1X4H352,N/A,N/A,N/A,P17,HARWIN," M20-9990445",REL,N/A,N/A,N/A,N/A,6002140,?,?
41,1,E025037,CONN-PCB HDR FEMALE ST 16POS 100MILS PITCH," PPTC161LFBN-RC",CNHDR1X16H341,N/A,N/A,N/A,P2,SULLINS," PPTC161LFBN-RC",REL,N/A,N/A,N/A,N/A,N/A,?,?
42,2,E011286,CONN-PCB 2.54MM HEADER SINGLE STR 2POS," PEC02SAAN",CNSULLINSPEC02SAAN,N/A,N/A,N/A,"P23,P24",SULLINS," PEC02SAAN",REL,N/A,N/A,N/A,N/A,6002233,?,?
43,2,E000791,CONN-PCB BERG JMPR ST MALE 2P," 69157-102HLF",CNBERG69157-102,N/A,N/A,N/A,"P29,P30",AMPHENOL FCI," 69157-102HLF",REL,A011-0002-037,N/A,N/A,N/A,N/A,?,?
44,1,E064849,CONN-PCB 12POS FEMALE HEADER SINGLE ROW 2.54MM," PPTC121LFBN-RC",CNTHFHDR1X12L1220W100H335,N/A,N/A,N/A,P3,SULLINS," PPTC121LFBN-RC",REL,N/A,N/A,N/A,N/A,N/A,?,?
45,1,E071406,CONN-PCB 3.5MM JACK STEREO RA," SJ1-3533NG",CNCUISJ1-353X_3P,N/A,N/A,N/A,P4,SAME SKY," SJ1-3533NG",?,N/A,N/A,N/A,N/A,N/A,?,?
46,1,E016030,CONN-PCB 0.025 INCH SQ POST SOCKET," SSW-107-01-T-S",CNRCPT1X7H335LD35,N/A,N/A,N/A,P6,SAMTEC," SSW-107-01-T-S",REL,N/A,N/A,N/A,N/A,6002344,?,?
47,1,E016027,CONN-PCB HEADER LOW PROFILE," TLW-107-05-G-S",CNHDR1X7H170,N/A,N/A,N/A,P7,SAMTEC," TLW-107-05-G-S",REL,N/A,N/A,N/A,N/A,6002377,?,?
48,4,E019273,TRANS N-CHA ENHANCE MODE MOSFET," 2N7002-7-F",SOT23-M3,N/A,60V,0.3W,"Q1,Q2,Q3,Q4",DIODES INCORPORATED," 2N7002-7-F",REL,N/A,N/A,N/A,N/A,1001270,?,?
49,10,E007502,RES SMD 0 Ohm JUMPER 1/10W 0603 AEC-Q200 PRECISION POWER," 0",R0603,JUMPER,N/A,1/10W,"R1,R7,R8,R17,R32,R89,R90,R93,R94,RAL",VISHAY," CRCW06030000Z0EA",REL,N/A,N/A,N/A,N/A,7000371,?,?
50,2,E003726,RES SMD 4.99K Ohm 1% 1/10W 0603 AEC-Q200," 4.99K",R0603,1,N/A,1/10W,"R9,R10",PANASONIC," ERJ-3EKF4991V",REL,A003-0032-086,41816DG744,N/A,N/A,7007555,?,?
51,7,E003678,RES SMD 1K Ohm 1% 1/10W 0603 AEC-Q200," 1K",R0603,1,N/A,1/10W,"R2,R3,R11,R12,R27,R30,R57",PANASONIC," ERJ-3EKF1001V",REL,A003-0032-013,41816DG207,FEC 911-239,N/A,7001194,?,?
52,2,E003668,RES SMD 100 Ohm 1% 1/10W 0603 AEC-Q200," 100",R0603,1,N/A,1/10W,"R13,R14",PANASONIC," ERJ-3EKF1000V",REL,A003-0032-003,41816DG308,FEC 911-112,1514_CAB3,7005700,?,?
53,2,E039962,RES SMD 24.9 Ohm 0.1% 1/8W 0603 AEC-Q200 SULFUR RESISTANT," 24.9",R0603,0.1,N/A,1/8W,"R15,R16",VISHAY," TNPW060324R9BEEA",REL,N/A,N/A,N/A,N/A,N/A,?,?
54,2,E014141,RES SMD 1 Ohm 1% 1/4W 1206 AEC-Q200," 1",R1206,1,N/A,1/4W,"R18,R56",PANASONIC," ERJ-8RQF1R0V",REL,N/A,N/A,N/A,N/A,7005448,?,?
55,1,E004034,RES SMD 324 Ohm 1% 1/10W 0603 AEC-Q200," 324",R0603,1,N/A,1/10W,R19,PANASONIC," ERJ-3EKF3240V",REL,A003-0032-106,N/A,N/A,N/A,7007269,?,?
56,1,E019452,RES SMD 182 Ohm 1% 1/10W 0603 AEC-Q200," 182",R0603,1,N/A,1/10W,R20,PANASONIC," ERJ-3EKF1820V",REL,N/A,N/A,N/A,N/A,7006371,?,?
57,2,E015339,RES SMD 249K Ohm 1% 1/10W 0603 AEC-Q200," 249K",R0603,1,N/A,1/10W,"R28,R75",PANASONIC," ERJ-3EKF2493V",REL,N/A,N/A,N/A,N/A,7006914,?,?
58,1,E006791,RES SMD 113 Ohm 1% 1/10W 0603 AEC-Q200," 113",R0603,1,N/A,1/10W,R29,PANASONIC," ERJ-3EKF1130V",REL,A003-0032-118,41816JH1099,N/A,N/A,7005970,?,?
59,1,E003711,RES SMD 2K Ohm 1% 1/10W 0603," 2K",R0603,1,N/A,1/10W,R31,YAGEO," RC0603FR-072KL",REL,A003-0032-062,N/A,N/A,N/A,N/A,?,?
60,1,E026071,RES SMD 2.67K Ohm 1% 1/16W 0402," 2.67K",R0402,1,N/A,1/16W,R33,YAGEO," RC0402FR-072K67L",REL,N/A,N/A,N/A,N/A,N/A,?,?
61,1,E011250,RES SMD 909 Ohm 1% 1/10W 0603 AEC-Q200," 909",R0603,1,N/A,1/10W,R34,PANASONIC," ERJ-3EKF9090V",REL,N/A,41816JH2066,N/A,N/A,7008542,?,?
62,1,E010702,RES SMD 274 Ohm 1% 1/10W 0603 AEC-Q200," 274",R0603,1,N/A,1/10W,R35,PANASONIC," ERJ-3EKF2740V",REL,N/A,N/A,N/A,1604_CAB3,7007003,?,?
63,1,E003737,RES SMD 1.18K Ohm 1% 1/10W 0603 AEC-Q200," 1.18K",R0603,1,N/A,1/10W,R36,PANASONIC," ERJ-3EKF1181V",REL,A003-0032-097,N/A,N/A,N/A,N/A,?,?
64,2,E017860,RES SMD 4.7K Ohm 1% 1/10W 0603 AEC-Q200," 4.7K",R0603,1,75V,1/10W,"R37,R38",VISHAY," CRCW06034K70FKEA",REL,N/A,N/A,N/A,N/A,7007532,?,?
65,1,E045363,RES SMD 82.5K OHM 1% 1/10W 0603 AEC-Q200," 82.5K",R0603,1,N/A,1/10W,R39,VISHAY," CRCW060382K5FKEA",REL,N/A,N/A,N/A,N/A,N/A,?,?
66,2,E010157,RES SMD 300 Ohm 1% 1/10W 0603," 300",R0603,1,50V,1/10W,"R4,R5",BOURNS," CR0603-FX-3000ELF",REL,N/A,N/A,N/A,N/A,7007198,?,?
67,2,E019547,RES SMD 15K Ohm 0.1% 1/10W 0603 HIGH PRECISION - HIGH STABILITY," 15K",R0603,0.1,N/A,1/10W,"R40,R41",YAGEO," RT0603BRB0715KL",REL,N/A,N/A,N/A,N/A,7008642,?,?
68,1,E031992,RES SMD 97.6K Ohm 1% 1/10W 0603," 97.6K",R0603,1,N/A,1/10W,R42,YAGEO," RC0603FR-0797K6L",REL,N/A,N/A,N/A,N/A,N/A,?,?
69,2,E015342,RES SMD 49.9K Ohm 1% 1/10W 0603 AEC-Q200," 49.9K",R0603,1,N/A,1/10W,"R43,R50",PANASONIC," ERJ-3EKF4992V",REL,N/A,N/A,N/A,N/A,7007774,?,?
70,1,E031380,RES SMD 1.33K Ohm 1% 1/10W R0603 AEC-Q200," 1.33K",R0603,1,N/A,1/10W,R44,PANASONIC," ERJ-3EKF1331V",REL,N/A,N/A,N/A,N/A,7001284,?,?
71,2,E015343,RES SMD 200K Ohm 1% 1/10W 0603 AEC-Q200," 200K",R0603,1,N/A,1/10W,"R45,R48",PANASONIC," ERJ-3EKF2003V",REL,N/A,N/A,N/A,N/A,N/A,?,?
72,1,E006631,RES SMD 63.4K Ohm 1% 1/10W 0603 AEC-Q200," 63.4K",R0603,1,N/A,1/10W,R46,PANASONIC," ERJ-3EKF6342V",REL,N/A,N/A,N/A,N/A,7008220,?,?
73,2,E003682,RES SMD 1MEG Ohm 1% 1/10W 0603 AEC-Q200," 1MEG",R0603,1,N/A,1/10W,"R47,R52",PANASONIC," ERJ-3EKF1004V",REL,A003-0032-017,41816DG307,FEC 911-598,N/A,N/A,?,?
74,1,E035617,RES SMD 19.1K Ohm 1% 1/10W 0603 AEC-Q200," 19.1K",R0603,1,N/A,1/10W,R49,VISHAY," CRCW060319K1FKEA",REL,N/A,N/A,N/A,N/A,N/A,?,?
75,1,E068253,RES SMD 82K OHM 1% 1/10W 0603 AEC-Q200," 82K",R0603,1,N/A,1/10W,R51,PANASONIC," ERJ-3EKF8202V",REL,N/A,N/A,N/A,N/A,N/A,?,?
76,3,E016883,RES SMD 3.9K Ohm 0.1% 1/10W 0603 AEC-Q200 HIGH RELIABILITY," 3.9K",R0603,0.1,N/A,1/10W,"R53,R54,R55",PANASONIC," ERA-3AEB392V",REL,N/A,N/A,N/A,N/A,7007163,?,?
77,8,E015126,RES SMD 10K Ohm 1% 1/3W 0603 AEC-Q200 PULSE PROOF," 10K",R0603,1,N/A,1/3W,"R58,R59,R60,R61,R62,R63,R64,R65",VISHAY," CRCW060310K0FKEAHP",REL,N/A,N/A,N/A,N/A,7005881,?,?
78,6,E043234,RES SMD 100K OHM 1% 1/10W 0603," 100K",R0603,1,N/A,1/10W,"R6,R66,R69,R72,R87,R88",YAGEO," RC0603FR-07100KL",REL,N/A,N/A,N/A,N/A,N/A,?,?
79,4,E035970,RES SMD 301K Ohm 0.1% 1/10W 0603 AEC-Q200 HIGH RELIABILITY," 301K",R0603,0.1,N/A,1/10W,"R67,R70,R73,R74",PANASONIC," ERA-3AEB3013V",REL,N/A,N/A,N/A,N/A,N/A,?,?
80,1,E047013,RES SMD 1.37MEG OHM 1% 1/16W 0402," 1.37MEG",R0402,1,N/A,1/16W,R68,YAGEO," RC0402FR-071M37L",REL,N/A,N/A,N/A,N/A,N/A,?,?
81,1,E067819,RES SMD 953K OHM 1% 1/10W 0603 AEC-Q200," 953K",R0603,1,N/A,1/10W,R71,PANASONIC," ERJ-3EKF9533V",REL,N/A,N/A,N/A,N/A,N/A,?,?
83,2,E029951,RES SMD 10K Ohm 0.1% 1/10W 0603 AEC-Q200 HIGH RELIABILITY," 10K",R0603,0.1,N/A,1/10W,"R78,R81",PANASONIC," ERA-3ARB103V",REL,N/A,N/A,N/A,N/A,N/A,?,?
84,1,E039795,RES SMD 18K Ohm 0.1% 1/10W 0603 HIGH PRECISION - HIGH STABILITY," 18K",R0603,0.1,N/A,1/10W,R79,YAGEO," RT0603BRD0718KL",REL,N/A,N/A,N/A,N/A,N/A,?,?
85,2,E064888,RES SMD 5K OHM 0.1% 1/10W 0603," 5K",R0603,0.1,N/A,1/10W,"R80,R83",YAGEO," RT0603BRE075KL",REL,N/A,N/A,N/A,N/A,N/A,?,?
86,1,E016592,RES SMD 35.7K Ohm 1% 1/10W 0603 AEC-Q200," 35.7K",R0603,1,N/A,1/10W,R82,PANASONIC," ERJ-3EKF3572V",REL,N/A,N/A,N/A,N/A,N/A,?,?
87,1,E017869,RES SMD 100K Ohm 1% 1/10W 0603," 100K",R0603,1,N/A,1/10W,R84,BOURNS," CR0603-FX-1003ELF",REL,N/A,N/A,N/A,N/A,7005770,?,?
89,1,E003671,RES SMD 10K Ohm 1% 1/10W 0603 AEC-Q200," 10K",R0603,1,N/A,1/10W,R86,PANASONIC," ERJ-3EKF1002V",REL,A003-0032-006,N/A,FEC 911-355,1517_CAB3,7000401,?,?
90,1,E068860,"RES SMD 470 OHM 0.1% 1/5W 0603, AEC-Q200"," 470",R0603,0.1,N/A,1/5W,R91,PANASONIC," ERJ-PB3B4700V",REL,N/A,N/A,N/A,N/A,N/A,?,?
91,1,E043601,RES SMD 30.1 OHM 1% 1/10W 0603," 30.1",R0603,1,N/A,1/10W,R92,YAGEO," RC0603FR-0730R1L",REL,N/A,N/A,N/A,N/A,N/A,?,?
92,1,E059575,RES SMD 3.57K OHM 1% 1/10W 0603," 3.57K",R0603,1,N/A,1/10W,RAH,YAGEO," RC0603FR-073K57L",REL,N/A,N/A,N/A,N/A,N/A,?,?
93,2,E065758,RES SMD 1.21K OHM 1% 1/10W 0603 AEC-Q200," 1.21K",R0603,1,N/A,1/10W,"RAM,RBL",VISHAY," CRCW06031K21FKEA",REL,N/A,N/A,N/A,N/A,N/A,?,?
94,1,E013393,RES SMD 4.75K Ohm 1% 1/10W 0603 AEC-Q200," 4.75K",R0603,1,N/A,1/10W,RBH,PANASONIC," ERJ-3EKF4751V",REL,N/A,N/A,N/A,N/A,7007524,?,?
95,1,E042601,RES SMD 2.43K OHM 1% 1/10W 0603," 2.43K",R0603,1,N/A,1/10W,RBM,YAGEO," RC0603FR-072K43L",REL,N/A,N/A,N/A,N/A,N/A,?,?
96,1,E074711,SWITCH TACTILE SPST-NO 0.05A 24V," 147873-2",SWSML236W138H169,N/A,24V,N/A,S1,TE CONNECTIVITY," 147873-2",REL,N/A,N/A,N/A,N/A,N/A,?,?
97,1,E005917,ROTARY DIP SWITCH," PT65503",SWAPEM-PT65,N/A,N/A,N/A,S2,APEM COMPONENTS," PT65503",REL,A007-0016-004,41916JH011,N/A,N/A,6003260,?,?
98,1,E055563,"IC-ADI, PRECISION, 20-BIT, 40MSPS SAR ADC, PRELIM"," AD4080BBCZ",BGA49_5X5,N/A,N/A,?,U1,ANALOG DEVICES," AD4080BBCZ",REL,N/A,N/A,N/A,N/A,N/A,?,?
99,3,E062853,"IC-ADI LOW-NOISE, 500MA LDO LINEAR REGULATORRN"," MAX38912ATA+",DFN8_2X2_PAD1_2X0_8_A,N/A,N/A,?,"U10,U13,U14",ANALOG DEVICES," MAX38912ATA+",REL,N/A,N/A,N/A,N/A,N/A,?,?
100,1,E042736,IC 32KBIT SERIAL EEPROM," 24AA32A-I/SM",SO8_A,N/A,N/A,?,U11,MICROCHIP TECHNOLOGY," 24AA32A-I/SM",REL,N/A,N/A,N/A,N/A,N/A,?,?
101,1,E018736,IC-TTL 4BIT SYNC BINARY COUNTERS," CD74AC163M96",SO16,N/A,N/A,?,U12,TEXAS INSTRUMENTS," CD74AC163M96",REL,N/A,N/A,N/A,N/A,1004269,?,?
102,1,E056530,IC-TTL SINGLE-BIT NONINVERTING BUS TRANSCEIVER," SN74AXC1T45DBVR",SOT23_6-3,N/A,N/A,?,U15,TEXAS INSTRUMENTS," SN74AXC1T45DBVR",REL,N/A,N/A,N/A,N/A,N/A,?,?
103,1,E028779,"IC-ADI HIGH-SPEED, FULLY DIFFERENTIAL ADC DRIVER"," ADA4945-1ACPZ-R7",QFN16_3X3_PAD1_6X1_6,N/A,N/A,?,U2,ANALOG DEVICES," ADA4945-1ACPZ-R7",REL,N/A,N/A,N/A,N/A,N/A,?,?
104,1,E030837,"IC-ADI 0.25PPM NOISE, LOW DRIFT PRECISION REFERENCES, 3VOUT"," LTC6655BHMS8-3#PBF",MSOP8,N/A,N/A,?,U3,ANALOG DEVICES," LTC6655BHMS8-3#PBF",REL,N/A,N/A,N/A,N/A,N/A,?,?
105,2,E019073,IC-TTL 4-B DUAL SUPPLY BUS TRANSCEIVER WITH 3-STATE OUTPUTS," SN74AVC4T245PW",TSSOP16,N/A,N/A,?,"U4,U5",TEXAS INSTRUMENTS," SN74AVC4T245PW",REL,N/A,N/A,N/A,N/A,1005837,?,?
106,1,E035327,IC-CMOS HEX INVERTER," CD74AC04M96",SO14-2,N/A,N/A,?,U6,TEXAS INSTRUMENTS," CD74AC04M96",REL,N/A,N/A,N/A,N/A,N/A,?,?
107,1,E030330,"IC-LIN DUAL 1.3A, 1.2MHZ BOOST INVERTER"," LT3471EDD#PBF",QFN10_3X3_PAD2_38X1_64,N/A,N/A,?,U7,LINEAR TECHNOLOGY," LT3471EDD#PBF",REL,N/A,N/A,N/A,N/A,N/A,?,?
108,1,E029803,"IC-ADI 20V, 200MA, ULTRALOW NOISE, ULTRAHIGH PSRR RF LINEAR REGULATOR"," LT3042EMSE#PBF",MSOP10_PAD1_88X1_68,N/A,N/A,?,U8,ANALOG DEVICES," LT3042EMSE#PBF",REL,N/A,N/A,N/A,N/A,N/A,?,?
109,1,E038442,"IC-ADI -20V, 0.2A ULTRALOW NOISE, ULTRAHIGH PSSR NEGATIVE LINEAR REGULATOR"," LT3093EDD#PBF",DFN12_3X3_PAD2_38X1_65,N/A,N/A,?,U9,ANALOG DEVICES," LT3093EDD#PBF",REL,N/A,N/A,N/A,N/A,N/A,?,?
110,1,E071158,IC CRYSTAL OSC XO 80MHZ HCMOS," 80MHZ",YSML283W205H55,N/A,5V,N/A,Y1,WURTH ELEKTRONIK," 831009443",REL,N/A,N/A,N/A,N/A,N/A,?,?


The following components are part of the PCB or are NOT to be installed
ITEM#,Qty,WW_PN,DESCRIPTION," VALUE",JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG," MFG_PN",HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
 13,1,E016319,CAP CER 10pF 50V 0.5pF C0G 0603 LOW ESR," 10pF",C0603,0.5pF,50V,N/A,C27,TDK," C1608C0G1H100D080AA",REL,N/A,N/A,N/A,N/A,7002454,?,DNI
 23,4,E000414,CAP CER 82pF 50V 5% C0G 0603," 82pF",C0603,5,50V,N/A,"C6,C7,C8,C9",PHYCOMP (YAGEO)," 2238 867 15829",REL,ADD_TO_STOCK_#27,N/A,722078,N/A,7003505,?,DNI
 24,2,E011547,CAP CER 0.1uF 16V 10% X7R 0603," 0.1uF",C0603,10,16V,N/A,"C61,C63",KEMET," C0603C104K4RAC",REL,N/A,N/A,N/A,N/A,N/A,?,DNI
 27,1,E064029,CAP CER 100PF 16V X7R 10% 0603 SMD," 100PF",C0603,10,16V,N/A,CFX,YAGEO," CC0603KRX7R7BB101",REL,N/A,N/A,N/A,N/A,N/A,?,DNI
 33,4,E004050,"DO NOT INSTALL (TBD_R0603), PLEASE USE SYM_3 AND/OR SYM_4"," TBD0603",R0603,TBD0603,N/A,TBD0603,"JP1,JP2,JP3,JP4",TBD0603," TBD0603",REL,TBD0603,N/A,N/A,N/A,N/A,?,DNI
 36,1,E060954,"CONN-PCB 40POS MALE HDR UNSHROUDED 0.635MM SQ POST, 2.54MM PITCH, 5.84MM POST HEIGHT, 2.54MM SOLDER TAIL"," TSW-120-07-G-D",CNTHMHDR2X20L2000W200H343,N/A,N/A,N/A,P1,SAMTEC INC.," TSW-120-07-G-D",REL,N/A,N/A,N/A,N/A,N/A,?,DNI
 82,2,E007502,RES SMD 0 Ohm JUMPER 1/10W 0603 AEC-Q200 PRECISION POWER," 0",R0603,JUMPER,N/A,1/10W,"R76,R77",VISHAY," CRCW06030000Z0EA",REL,N/A,N/A,N/A,N/A,7000371,?,DNI
 88,1,E017869,RES SMD 100K Ohm 1% 1/10W 0603," 100K",R0603,1,N/A,1/10W,R85,BOURNS," CR0603-FX-1003ELF",REL,N/A,N/A,N/A,N/A,7005770,?,DNI

